"Jahr","Alter","Geschlecht","value"
"1860","Alter - Total","Geschlecht - Total",2515396
"1861","Alter - Total","Geschlecht - Total",2533077
"1862","Alter - Total","Geschlecht - Total",2554257
"1863","Alter - Total","Geschlecht - Total",2575649
"1864","Alter - Total","Geschlecht - Total",2594555
"1865","Alter - Total","Geschlecht - Total",2611102
"1866","Alter - Total","Geschlecht - Total",2625400
"1867","Alter - Total","Geschlecht - Total",2637538
"1868","Alter - Total","Geschlecht - Total",2647583
"1869","Alter - Total","Geschlecht - Total",2657614
"1870","Alter - Total","Geschlecht - Total",2673468
"1871","Alter - Total","Geschlecht - Total",2686618
"1872","Alter - Total","Geschlecht - Total",2701982
"1873","Alter - Total","Geschlecht - Total",2718108
"1874","Alter - Total","Geschlecht - Total",2733487
"1875","Alter - Total","Geschlecht - Total",2749393
"1876","Alter - Total","Geschlecht - Total",2767666
"1877","Alter - Total","Geschlecht - Total",2785514
"1878","Alter - Total","Geschlecht - Total",2802222
"1879","Alter - Total","Geschlecht - Total",2817307
"1880","Alter - Total","Geschlecht - Total",2840501
"1881","Alter - Total","Geschlecht - Total",2851255
"1882","Alter - Total","Geschlecht - Total",2860234
"1883","Alter - Total","Geschlecht - Total",2871264
"1884","Alter - Total","Geschlecht - Total",2883670
"1885","Alter - Total","Geschlecht - Total",2892184
"1886","Alter - Total","Geschlecht - Total",2901605
"1887","Alter - Total","Geschlecht - Total",2911233
"1888","Alter - Total","Geschlecht - Total",2922897
"1889","Alter - Total","Geschlecht - Total",2949577
"1890","Alter - Total","Geschlecht - Total",2972024
"1891","Alter - Total","Geschlecht - Total",3000632
"1892","Alter - Total","Geschlecht - Total",3032945
"1893","Alter - Total","Geschlecht - Total",3063218
"1894","Alter - Total","Geschlecht - Total",3091585
"1895","Alter - Total","Geschlecht - Total",3122589
"1896","Alter - Total","Geschlecht - Total",3161271
"1897","Alter - Total","Geschlecht - Total",3201298
"1898","Alter - Total","Geschlecht - Total",3240943
"1899","Alter - Total","Geschlecht - Total",3282407
"1900","Alter - Total","Geschlecht - Total",3318985
"1901","Alter - Total","Geschlecht - Total",3364073
"1902","Alter - Total","Geschlecht - Total",3411135
"1903","Alter - Total","Geschlecht - Total",3453716
"1904","Alter - Total","Geschlecht - Total",3496188
"1905","Alter - Total","Geschlecht - Total",3536835
"1906","Alter - Total","Geschlecht - Total",3582151
"1907","Alter - Total","Geschlecht - Total",3625456
"1908","Alter - Total","Geschlecht - Total",3671165
"1909","Alter - Total","Geschlecht - Total",3711868
"1910","Alter - Total","Geschlecht - Total",3756842
"1911","Alter - Total","Geschlecht - Total",3778312
"1912","Alter - Total","Geschlecht - Total",3805595
"1913","Alter - Total","Geschlecht - Total",3828431
"1914","Alter - Total","Geschlecht - Total",3849766
"1915","Alter - Total","Geschlecht - Total",3860635
"1916","Alter - Total","Geschlecht - Total",3871760
"1917","Alter - Total","Geschlecht - Total",3878896
"1918","Alter - Total","Geschlecht - Total",3864844
"1919","Alter - Total","Geschlecht - Total",3869481
"1920","Alter - Total","Geschlecht - Total",3883360
"1921","Alter - Total","Geschlecht - Total",3908521
"1922","Alter - Total","Geschlecht - Total",3928566
"1923","Alter - Total","Geschlecht - Total",3952134
"1924","Alter - Total","Geschlecht - Total",3970682
"1925","Alter - Total","Geschlecht - Total",3989227
"1926","Alter - Total","Geschlecht - Total",4009537
"1927","Alter - Total","Geschlecht - Total",4024345
"1928","Alter - Total","Geschlecht - Total",4040177
"1929","Alter - Total","Geschlecht - Total",4052557
"1930","Alter - Total","Geschlecht - Total",4070042
"1931","Alter - Total","Geschlecht - Total",4091602
"1932","Alter - Total","Geschlecht - Total",4110388
"1933","Alter - Total","Geschlecht - Total",4136343
"1934","Alter - Total","Geschlecht - Total",4159698
"1935","Alter - Total","Geschlecht - Total",4178640
"1936","Alter - Total","Geschlecht - Total",4198782
"1937","Alter - Total","Geschlecht - Total",4217126
"1938","Alter - Total","Geschlecht - Total",4235430
"1939","Alter - Total","Geschlecht - Total",4252902
"1940","Alter - Total","Geschlecht - Total",4268964
"1941","Alter - Total","Geschlecht - Total",4296693
"1942","Alter - Total","Geschlecht - Total",4326774
"1943","Alter - Total","Geschlecht - Total",4360681
"1944","Alter - Total","Geschlecht - Total",4392319
"1945","Alter - Total","Geschlecht - Total",4428117
"1946","Alter - Total","Geschlecht - Total",4490000
"1947","Alter - Total","Geschlecht - Total",4549100
"1948","Alter - Total","Geschlecht - Total",4611200
"1949","Alter - Total","Geschlecht - Total",4668000
"1950","Alter - Total","Geschlecht - Total",4717200
"1951","Alter - Total","Geschlecht - Total",4778900
"1952","Alter - Total","Geschlecht - Total",4844100
"1953","Alter - Total","Geschlecht - Total",4907000
"1954","Alter - Total","Geschlecht - Total",4970300
"1955","Alter - Total","Geschlecht - Total",5033700
"1956","Alter - Total","Geschlecht - Total",5097400
"1957","Alter - Total","Geschlecht - Total",5162800
"1958","Alter - Total","Geschlecht - Total",5230000
"1959","Alter - Total","Geschlecht - Total",5295500
"1960","Alter - Total","Geschlecht - Total",5360153
"1961","Alter - Total","Geschlecht - Total",5508435
"1962","Alter - Total","Geschlecht - Total",5639195
"1963","Alter - Total","Geschlecht - Total",5749299
"1964","Alter - Total","Geschlecht - Total",5829156
"1965","Alter - Total","Geschlecht - Total",5883788
"1966","Alter - Total","Geschlecht - Total",5952216
"1967","Alter - Total","Geschlecht - Total",6031353
"1968","Alter - Total","Geschlecht - Total",6104074
"1969","Alter - Total","Geschlecht - Total",6168700
"1970","Alter - Total","Geschlecht - Total",6193064
"1971","Alter - Total","Geschlecht - Total",6233744
"1972","Alter - Total","Geschlecht - Total",6288168
"1973","Alter - Total","Geschlecht - Total",6326525
"1974","Alter - Total","Geschlecht - Total",6356285
"1975","Alter - Total","Geschlecht - Total",6320978
"1976","Alter - Total","Geschlecht - Total",6284029
"1977","Alter - Total","Geschlecht - Total",6278319
"1978","Alter - Total","Geschlecht - Total",6285156
"1979","Alter - Total","Geschlecht - Total",6303573
"1980","Alter - Total","Geschlecht - Total",6335243
"1981","Alter - Total","Geschlecht - Total",6372904
"1982","Alter - Total","Geschlecht - Total",6409713
"1983","Alter - Total","Geschlecht - Total",6427833
"1984","Alter - Total","Geschlecht - Total",6455896
"1985","Alter - Total","Geschlecht - Total",6484834
"1986","Alter - Total","Geschlecht - Total",6523413
"1987","Alter - Total","Geschlecht - Total",6566799
"1988","Alter - Total","Geschlecht - Total",6619973
"1989","Alter - Total","Geschlecht - Total",6673850
"1990","Alter - Total","Geschlecht - Total",6750693
"1991","Alter - Total","Geschlecht - Total",6842768
"1992","Alter - Total","Geschlecht - Total",6907959
"1993","Alter - Total","Geschlecht - Total",6968570
"1994","Alter - Total","Geschlecht - Total",7019019
"1995","Alter - Total","Geschlecht - Total",7062354
"1996","Alter - Total","Geschlecht - Total",7081346
"1997","Alter - Total","Geschlecht - Total",7096465
"1998","Alter - Total","Geschlecht - Total",7123537
"1999","Alter - Total","Geschlecht - Total",7164444
"2000","Alter - Total","Geschlecht - Total",7204055
"2001","Alter - Total","Geschlecht - Total",7255653
"2002","Alter - Total","Geschlecht - Total",7313853
"2003","Alter - Total","Geschlecht - Total",7364148
"2004","Alter - Total","Geschlecht - Total",7415102
"2005","Alter - Total","Geschlecht - Total",7459128
"2006","Alter - Total","Geschlecht - Total",7508739
"2007","Alter - Total","Geschlecht - Total",7593494
"2008","Alter - Total","Geschlecht - Total",7701856
"2009","Alter - Total","Geschlecht - Total",7785806
"2010","Alter - Total","Geschlecht - Total",7870134
"2011","Alter - Total","Geschlecht - Total",7954662
"2012","Alter - Total","Geschlecht - Total",8039060
"2013","Alter - Total","Geschlecht - Total",8139631
"2014","Alter - Total","Geschlecht - Total",8237666
"2015","Alter - Total","Geschlecht - Total",8327126
"2016","Alter - Total","Geschlecht - Total",8419550
"2017","Alter - Total","Geschlecht - Total",8484130
"2018","Alter - Total","Geschlecht - Total",8544527
"2019","Alter - Total","Geschlecht - Total",8606033
"2020","Alter - Total","Geschlecht - Total",8670300
"2021","Alter - Total","Geschlecht - Total",8738791
"2022","Alter - Total","Geschlecht - Total",8815385
"1860","0 Jahre","Geschlecht - Total",65867
"1861","0 Jahre","Geschlecht - Total",71072
"1862","0 Jahre","Geschlecht - Total",69451
"1863","0 Jahre","Geschlecht - Total",68038
"1864","0 Jahre","Geschlecht - Total",66606
"1865","0 Jahre","Geschlecht - Total",65268
"1866","0 Jahre","Geschlecht - Total",64027
"1867","0 Jahre","Geschlecht - Total",62883
"1868","0 Jahre","Geschlecht - Total",61838
"1869","0 Jahre","Geschlecht - Total",63979
"1870","0 Jahre","Geschlecht - Total",67164
"1871","0 Jahre","Geschlecht - Total",70134
"1872","0 Jahre","Geschlecht - Total",69043
"1873","0 Jahre","Geschlecht - Total",67809
"1874","0 Jahre","Geschlecht - Total",67266
"1875","0 Jahre","Geschlecht - Total",67837
"1876","0 Jahre","Geschlecht - Total",70002
"1877","0 Jahre","Geschlecht - Total",68913
"1878","0 Jahre","Geschlecht - Total",67681
"1879","0 Jahre","Geschlecht - Total",66055
"1880","0 Jahre","Geschlecht - Total",71720
"1881","0 Jahre","Geschlecht - Total",73207
"1882","0 Jahre","Geschlecht - Total",71667
"1883","0 Jahre","Geschlecht - Total",70525
"1884","0 Jahre","Geschlecht - Total",72156
"1885","0 Jahre","Geschlecht - Total",70431
"1886","0 Jahre","Geschlecht - Total",70017
"1887","0 Jahre","Geschlecht - Total",69179
"1888","0 Jahre","Geschlecht - Total",71870
"1889","0 Jahre","Geschlecht - Total",71844
"1890","0 Jahre","Geschlecht - Total",69572
"1891","0 Jahre","Geschlecht - Total",73957
"1892","0 Jahre","Geschlecht - Total",74027
"1893","0 Jahre","Geschlecht - Total",75565
"1894","0 Jahre","Geschlecht - Total",74948
"1895","0 Jahre","Geschlecht - Total",74514
"1896","0 Jahre","Geschlecht - Total",79727
"1897","0 Jahre","Geschlecht - Total",80828
"1898","0 Jahre","Geschlecht - Total",81524
"1899","0 Jahre","Geschlecht - Total",83282
"1900","0 Jahre","Geschlecht - Total",83661
"1901","0 Jahre","Geschlecht - Total",87329
"1902","0 Jahre","Geschlecht - Total",86915
"1903","0 Jahre","Geschlecht - Total",84837
"1904","0 Jahre","Geschlecht - Total",85110
"1905","0 Jahre","Geschlecht - Total",85176
"1906","0 Jahre","Geschlecht - Total",87009
"1907","0 Jahre","Geschlecht - Total",85796
"1908","0 Jahre","Geschlecht - Total",87301
"1909","0 Jahre","Geschlecht - Total",84017
"1910","0 Jahre","Geschlecht - Total",86274
"1911","0 Jahre","Geschlecht - Total",82635
"1912","0 Jahre","Geschlecht - Total",85034
"1913","0 Jahre","Geschlecht - Total",82381
"1914","0 Jahre","Geschlecht - Total",79814
"1915","0 Jahre","Geschlecht - Total",68673
"1916","0 Jahre","Geschlecht - Total",68954
"1917","0 Jahre","Geschlecht - Total",67678
"1918","0 Jahre","Geschlecht - Total",67621
"1919","0 Jahre","Geschlecht - Total",66688
"1920","0 Jahre","Geschlecht - Total",76528
"1921","0 Jahre","Geschlecht - Total",76323
"1922","0 Jahre","Geschlecht - Total",72291
"1923","0 Jahre","Geschlecht - Total",72036
"1924","0 Jahre","Geschlecht - Total",69982
"1925","0 Jahre","Geschlecht - Total",69127
"1926","0 Jahre","Geschlecht - Total",69609
"1927","0 Jahre","Geschlecht - Total",67010
"1928","0 Jahre","Geschlecht - Total",66832
"1929","0 Jahre","Geschlecht - Total",65892
"1930","0 Jahre","Geschlecht - Total",67475
"1931","0 Jahre","Geschlecht - Total",65722
"1932","0 Jahre","Geschlecht - Total",65897
"1933","0 Jahre","Geschlecht - Total",65012
"1934","0 Jahre","Geschlecht - Total",64825
"1935","0 Jahre","Geschlecht - Total",63822
"1936","0 Jahre","Geschlecht - Total",62453
"1937","0 Jahre","Geschlecht - Total",60493
"1938","0 Jahre","Geschlecht - Total",61774
"1939","0 Jahre","Geschlecht - Total",61808
"1940","0 Jahre","Geschlecht - Total",61590
"1941","0 Jahre","Geschlecht - Total",69641
"1942","0 Jahre","Geschlecht - Total",76378
"1943","0 Jahre","Geschlecht - Total",80450
"1944","0 Jahre","Geschlecht - Total",82783
"1945","0 Jahre","Geschlecht - Total",85600
"1946","0 Jahre","Geschlecht - Total",86200
"1947","0 Jahre","Geschlecht - Total",85000
"1948","0 Jahre","Geschlecht - Total",85100
"1949","0 Jahre","Geschlecht - Total",82400
"1950","0 Jahre","Geschlecht - Total",83000
"1951","0 Jahre","Geschlecht - Total",80400
"1952","0 Jahre","Geschlecht - Total",82600
"1953","0 Jahre","Geschlecht - Total",82400
"1954","0 Jahre","Geschlecht - Total",83700
"1955","0 Jahre","Geschlecht - Total",85600
"1956","0 Jahre","Geschlecht - Total",88200
"1957","0 Jahre","Geschlecht - Total",91100
"1958","0 Jahre","Geschlecht - Total",91300
"1959","0 Jahre","Geschlecht - Total",92000
"1960","0 Jahre","Geschlecht - Total",92726
"1961","0 Jahre","Geschlecht - Total",97507
"1962","0 Jahre","Geschlecht - Total",101661
"1963","0 Jahre","Geschlecht - Total",106632
"1964","0 Jahre","Geschlecht - Total",110044
"1965","0 Jahre","Geschlecht - Total",110040
"1966","0 Jahre","Geschlecht - Total",107323
"1967","0 Jahre","Geschlecht - Total",104118
"1968","0 Jahre","Geschlecht - Total",101540
"1969","0 Jahre","Geschlecht - Total",96767
"1970","0 Jahre","Geschlecht - Total",95953
"1971","0 Jahre","Geschlecht - Total",94896
"1972","0 Jahre","Geschlecht - Total",89336
"1973","0 Jahre","Geschlecht - Total",84980
"1974","0 Jahre","Geschlecht - Total",81124
"1975","0 Jahre","Geschlecht - Total",74803
"1976","0 Jahre","Geschlecht - Total",72158
"1977","0 Jahre","Geschlecht - Total",71893
"1978","0 Jahre","Geschlecht - Total",70404
"1979","0 Jahre","Geschlecht - Total",70683
"1980","0 Jahre","Geschlecht - Total",73323
"1981","0 Jahre","Geschlecht - Total",73481
"1982","0 Jahre","Geschlecht - Total",74655
"1983","0 Jahre","Geschlecht - Total",73705
"1984","0 Jahre","Geschlecht - Total",74012
"1985","0 Jahre","Geschlecht - Total",74001
"1986","0 Jahre","Geschlecht - Total",75506
"1987","0 Jahre","Geschlecht - Total",76066
"1988","0 Jahre","Geschlecht - Total",79650
"1989","0 Jahre","Geschlecht - Total",80641
"1990","0 Jahre","Geschlecht - Total",83271
"1991","0 Jahre","Geschlecht - Total",85299
"1992","0 Jahre","Geschlecht - Total",85761
"1993","0 Jahre","Geschlecht - Total",82874
"1994","0 Jahre","Geschlecht - Total",82032
"1995","0 Jahre","Geschlecht - Total",81523
"1996","0 Jahre","Geschlecht - Total",82475
"1997","0 Jahre","Geschlecht - Total",79916
"1998","0 Jahre","Geschlecht - Total",78032
"1999","0 Jahre","Geschlecht - Total",77838
"2000","0 Jahre","Geschlecht - Total",77642
"2001","0 Jahre","Geschlecht - Total",71817
"2002","0 Jahre","Geschlecht - Total",71989
"2003","0 Jahre","Geschlecht - Total",71520
"2004","0 Jahre","Geschlecht - Total",72863
"2005","0 Jahre","Geschlecht - Total",72545
"2006","0 Jahre","Geschlecht - Total",73043
"2007","0 Jahre","Geschlecht - Total",74275
"2008","0 Jahre","Geschlecht - Total",76316
"2009","0 Jahre","Geschlecht - Total",77786
"2010","0 Jahre","Geschlecht - Total",78031
"2011","0 Jahre","Geschlecht - Total",78426
"2012","0 Jahre","Geschlecht - Total",79621
"2013","0 Jahre","Geschlecht - Total",81409
"2014","0 Jahre","Geschlecht - Total",83730
"2015","0 Jahre","Geschlecht - Total",84904
"2016","0 Jahre","Geschlecht - Total",86296
"2017","0 Jahre","Geschlecht - Total",85611
"2018","0 Jahre","Geschlecht - Total",86168
"2019","0 Jahre","Geschlecht - Total",84500
"2020","0 Jahre","Geschlecht - Total",84374
"2021","0 Jahre","Geschlecht - Total",88200
"2022","0 Jahre","Geschlecht - Total",80839
"1860","1 Jahr","Geschlecht - Total",59517
"1861","1 Jahr","Geschlecht - Total",59280
"1862","1 Jahr","Geschlecht - Total",69250
"1863","1 Jahr","Geschlecht - Total",67730
"1864","1 Jahr","Geschlecht - Total",66420
"1865","1 Jahr","Geschlecht - Total",65033
"1866","1 Jahr","Geschlecht - Total",63743
"1867","1 Jahr","Geschlecht - Total",62549
"1868","1 Jahr","Geschlecht - Total",61453
"1869","1 Jahr","Geschlecht - Total",60456
"1870","1 Jahr","Geschlecht - Total",62989
"1871","1 Jahr","Geschlecht - Total",61783
"1872","1 Jahr","Geschlecht - Total",68649
"1873","1 Jahr","Geschlecht - Total",67755
"1874","1 Jahr","Geschlecht - Total",66539
"1875","1 Jahr","Geschlecht - Total",66179
"1876","1 Jahr","Geschlecht - Total",67080
"1877","1 Jahr","Geschlecht - Total",69733
"1878","1 Jahr","Geschlecht - Total",68526
"1879","1 Jahr","Geschlecht - Total",67189
"1880","1 Jahr","Geschlecht - Total",65437
"1881","1 Jahr","Geschlecht - Total",66146
"1882","1 Jahr","Geschlecht - Total",67807
"1883","1 Jahr","Geschlecht - Total",66706
"1884","1 Jahr","Geschlecht - Total",65821
"1885","1 Jahr","Geschlecht - Total",67330
"1886","1 Jahr","Geschlecht - Total",65954
"1887","1 Jahr","Geschlecht - Total",65596
"1888","1 Jahr","Geschlecht - Total",64653
"1889","1 Jahr","Geschlecht - Total",67195
"1890","1 Jahr","Geschlecht - Total",67543
"1891","1 Jahr","Geschlecht - Total",64831
"1892","1 Jahr","Geschlecht - Total",70133
"1893","1 Jahr","Geschlecht - Total",69773
"1894","1 Jahr","Geschlecht - Total",70842
"1895","1 Jahr","Geschlecht - Total",70446
"1896","1 Jahr","Geschlecht - Total",70825
"1897","1 Jahr","Geschlecht - Total",75550
"1898","1 Jahr","Geschlecht - Total",76425
"1899","1 Jahr","Geschlecht - Total",77295
"1900","1 Jahr","Geschlecht - Total",78093
"1901","1 Jahr","Geschlecht - Total",79266
"1902","1 Jahr","Geschlecht - Total",83448
"1903","1 Jahr","Geschlecht - Total",82715
"1904","1 Jahr","Geschlecht - Total",80382
"1905","1 Jahr","Geschlecht - Total",80950
"1906","1 Jahr","Geschlecht - Total",81195
"1907","1 Jahr","Geschlecht - Total",83236
"1908","1 Jahr","Geschlecht - Total",82441
"1909","1 Jahr","Geschlecht - Total",83342
"1910","1 Jahr","Geschlecht - Total",80314
"1911","1 Jahr","Geschlecht - Total",82415
"1912","1 Jahr","Geschlecht - Total",79836
"1913","1 Jahr","Geschlecht - Total",81777
"1914","1 Jahr","Geschlecht - Total",79420
"1915","1 Jahr","Geschlecht - Total",76939
"1916","1 Jahr","Geschlecht - Total",66450
"1917","1 Jahr","Geschlecht - Total",67134
"1918","1 Jahr","Geschlecht - Total",65387
"1919","1 Jahr","Geschlecht - Total",65615
"1920","1 Jahr","Geschlecht - Total",64293
"1921","1 Jahr","Geschlecht - Total",74546
"1922","1 Jahr","Geschlecht - Total",74880
"1923","1 Jahr","Geschlecht - Total",71004
"1924","1 Jahr","Geschlecht - Total",70733
"1925","1 Jahr","Geschlecht - Total",68685
"1926","1 Jahr","Geschlecht - Total",67845
"1927","1 Jahr","Geschlecht - Total",68375
"1928","1 Jahr","Geschlecht - Total",65893
"1929","1 Jahr","Geschlecht - Total",65739
"1930","1 Jahr","Geschlecht - Total",64829
"1931","1 Jahr","Geschlecht - Total",66456
"1932","1 Jahr","Geschlecht - Total",64757
"1933","1 Jahr","Geschlecht - Total",65128
"1934","1 Jahr","Geschlecht - Total",64248
"1935","1 Jahr","Geschlecht - Total",63929
"1936","1 Jahr","Geschlecht - Total",63091
"1937","1 Jahr","Geschlecht - Total",61637
"1938","1 Jahr","Geschlecht - Total",59869
"1939","1 Jahr","Geschlecht - Total",61143
"1940","1 Jahr","Geschlecht - Total",60909
"1941","1 Jahr","Geschlecht - Total",60968
"1942","1 Jahr","Geschlecht - Total",69186
"1943","1 Jahr","Geschlecht - Total",75715
"1944","1 Jahr","Geschlecht - Total",79684
"1945","1 Jahr","Geschlecht - Total",82031
"1946","1 Jahr","Geschlecht - Total",85211
"1947","1 Jahr","Geschlecht - Total",85835
"1948","1 Jahr","Geschlecht - Total",84658
"1949","1 Jahr","Geschlecht - Total",84678
"1950","1 Jahr","Geschlecht - Total",81654
"1951","1 Jahr","Geschlecht - Total",83042
"1952","1 Jahr","Geschlecht - Total",80324
"1953","1 Jahr","Geschlecht - Total",82632
"1954","1 Jahr","Geschlecht - Total",82392
"1955","1 Jahr","Geschlecht - Total",83484
"1956","1 Jahr","Geschlecht - Total",85236
"1957","1 Jahr","Geschlecht - Total",87484
"1958","1 Jahr","Geschlecht - Total",90283
"1959","1 Jahr","Geschlecht - Total",90119
"1960","1 Jahr","Geschlecht - Total",90073
"1961","1 Jahr","Geschlecht - Total",93174
"1962","1 Jahr","Geschlecht - Total",97261
"1963","1 Jahr","Geschlecht - Total",100877
"1964","1 Jahr","Geschlecht - Total",105761
"1965","1 Jahr","Geschlecht - Total",109721
"1966","1 Jahr","Geschlecht - Total",108988
"1967","1 Jahr","Geschlecht - Total",105797
"1968","1 Jahr","Geschlecht - Total",102379
"1969","1 Jahr","Geschlecht - Total",99546
"1970","1 Jahr","Geschlecht - Total",96764
"1971","1 Jahr","Geschlecht - Total",95510
"1972","1 Jahr","Geschlecht - Total",93282
"1973","1 Jahr","Geschlecht - Total",87792
"1974","1 Jahr","Geschlecht - Total",82541
"1975","1 Jahr","Geschlecht - Total",78425
"1976","1 Jahr","Geschlecht - Total",72847
"1977","1 Jahr","Geschlecht - Total",70920
"1978","1 Jahr","Geschlecht - Total",70691
"1979","1 Jahr","Geschlecht - Total",69886
"1980","1 Jahr","Geschlecht - Total",70714
"1981","1 Jahr","Geschlecht - Total",73204
"1982","1 Jahr","Geschlecht - Total",73361
"1983","1 Jahr","Geschlecht - Total",74377
"1984","1 Jahr","Geschlecht - Total",73261
"1985","1 Jahr","Geschlecht - Total",73816
"1986","1 Jahr","Geschlecht - Total",73788
"1987","1 Jahr","Geschlecht - Total",75161
"1988","1 Jahr","Geschlecht - Total",75746
"1989","1 Jahr","Geschlecht - Total",79275
"1990","1 Jahr","Geschlecht - Total",80620
"1991","1 Jahr","Geschlecht - Total",83173
"1992","1 Jahr","Geschlecht - Total",85226
"1993","1 Jahr","Geschlecht - Total",86061
"1994","1 Jahr","Geschlecht - Total",83091
"1995","1 Jahr","Geschlecht - Total",82512
"1996","1 Jahr","Geschlecht - Total",81620
"1997","1 Jahr","Geschlecht - Total",82315
"1998","1 Jahr","Geschlecht - Total",79931
"1999","1 Jahr","Geschlecht - Total",78817
"2000","1 Jahr","Geschlecht - Total",78401
"2001","1 Jahr","Geschlecht - Total",72269
"2002","1 Jahr","Geschlecht - Total",72382
"2003","1 Jahr","Geschlecht - Total",72448
"2004","1 Jahr","Geschlecht - Total",71740
"2005","1 Jahr","Geschlecht - Total",73017
"2006","1 Jahr","Geschlecht - Total",73004
"2007","1 Jahr","Geschlecht - Total",73179
"2008","1 Jahr","Geschlecht - Total",75269
"2009","1 Jahr","Geschlecht - Total",77073
"2010","1 Jahr","Geschlecht - Total",79351
"2011","1 Jahr","Geschlecht - Total",81663
"2012","1 Jahr","Geschlecht - Total",81185
"2013","1 Jahr","Geschlecht - Total",82850
"2014","1 Jahr","Geschlecht - Total",83494
"2015","1 Jahr","Geschlecht - Total",85645
"2016","1 Jahr","Geschlecht - Total",86967
"2017","1 Jahr","Geschlecht - Total",88206
"2018","1 Jahr","Geschlecht - Total",87251
"2019","1 Jahr","Geschlecht - Total",87774
"2020","1 Jahr","Geschlecht - Total",86267
"2021","1 Jahr","Geschlecht - Total",85795
"2022","1 Jahr","Geschlecht - Total",89890
"1860","2 Jahre","Geschlecht - Total",53778
"1861","2 Jahre","Geschlecht - Total",56541
"1862","2 Jahre","Geschlecht - Total",56317
"1863","2 Jahre","Geschlecht - Total",67427
"1864","2 Jahre","Geschlecht - Total",66008
"1865","2 Jahre","Geschlecht - Total",64800
"1866","2 Jahre","Geschlecht - Total",63462
"1867","2 Jahre","Geschlecht - Total",62218
"1868","2 Jahre","Geschlecht - Total",61072
"1869","2 Jahre","Geschlecht - Total",60022
"1870","2 Jahre","Geschlecht - Total",59074
"1871","2 Jahre","Geschlecht - Total",60469
"1872","2 Jahre","Geschlecht - Total",58695
"1873","2 Jahre","Geschlecht - Total",67164
"1874","2 Jahre","Geschlecht - Total",66467
"1875","2 Jahre","Geschlecht - Total",65268
"1876","2 Jahre","Geschlecht - Total",65090
"1877","2 Jahre","Geschlecht - Total",66323
"1878","2 Jahre","Geschlecht - Total",69464
"1879","2 Jahre","Geschlecht - Total",68139
"1880","2 Jahre","Geschlecht - Total",66697
"1881","2 Jahre","Geschlecht - Total",63855
"1882","2 Jahre","Geschlecht - Total",64476
"1883","2 Jahre","Geschlecht - Total",66222
"1884","2 Jahre","Geschlecht - Total",64817
"1885","2 Jahre","Geschlecht - Total",63674
"1886","2 Jahre","Geschlecht - Total",65952
"1887","2 Jahre","Geschlecht - Total",64584
"1888","2 Jahre","Geschlecht - Total",64240
"1889","2 Jahre","Geschlecht - Total",63330
"1890","2 Jahre","Geschlecht - Total",65807
"1891","2 Jahre","Geschlecht - Total",65992
"1892","2 Jahre","Geschlecht - Total",63631
"1893","2 Jahre","Geschlecht - Total",68858
"1894","2 Jahre","Geschlecht - Total",68235
"1895","2 Jahre","Geschlecht - Total",69671
"1896","2 Jahre","Geschlecht - Total",69222
"1897","2 Jahre","Geschlecht - Total",69669
"1898","2 Jahre","Geschlecht - Total",74240
"1899","2 Jahre","Geschlecht - Total",75194
"1900","2 Jahre","Geschlecht - Total",75890
"1901","2 Jahre","Geschlecht - Total",76985
"1902","2 Jahre","Geschlecht - Total",78279
"1903","2 Jahre","Geschlecht - Total",82265
"1904","2 Jahre","Geschlecht - Total",81370
"1905","2 Jahre","Geschlecht - Total",79082
"1906","2 Jahre","Geschlecht - Total",79853
"1907","2 Jahre","Geschlecht - Total",79901
"1908","2 Jahre","Geschlecht - Total",82331
"1909","2 Jahre","Geschlecht - Total",81271
"1910","2 Jahre","Geschlecht - Total",82132
"1911","2 Jahre","Geschlecht - Total",79401
"1912","2 Jahre","Geschlecht - Total",81289
"1913","2 Jahre","Geschlecht - Total",78797
"1914","2 Jahre","Geschlecht - Total",80605
"1915","2 Jahre","Geschlecht - Total",78255
"1916","2 Jahre","Geschlecht - Total",75831
"1917","2 Jahre","Geschlecht - Total",65366
"1918","2 Jahre","Geschlecht - Total",66223
"1919","2 Jahre","Geschlecht - Total",64710
"1920","2 Jahre","Geschlecht - Total",64764
"1921","2 Jahre","Geschlecht - Total",63812
"1922","2 Jahre","Geschlecht - Total",73834
"1923","2 Jahre","Geschlecht - Total",74524
"1924","2 Jahre","Geschlecht - Total",70630
"1925","2 Jahre","Geschlecht - Total",70243
"1926","2 Jahre","Geschlecht - Total",68251
"1927","2 Jahre","Geschlecht - Total",67335
"1928","2 Jahre","Geschlecht - Total",67957
"1929","2 Jahre","Geschlecht - Total",65499
"1930","2 Jahre","Geschlecht - Total",65378
"1931","2 Jahre","Geschlecht - Total",64557
"1932","2 Jahre","Geschlecht - Total",66084
"1933","2 Jahre","Geschlecht - Total",64514
"1934","2 Jahre","Geschlecht - Total",64826
"1935","2 Jahre","Geschlecht - Total",63896
"1936","2 Jahre","Geschlecht - Total",63625
"1937","2 Jahre","Geschlecht - Total",62744
"1938","2 Jahre","Geschlecht - Total",61336
"1939","2 Jahre","Geschlecht - Total",59658
"1940","2 Jahre","Geschlecht - Total",60774
"1941","2 Jahre","Geschlecht - Total",60700
"1942","2 Jahre","Geschlecht - Total",60801
"1943","2 Jahre","Geschlecht - Total",69083
"1944","2 Jahre","Geschlecht - Total",75505
"1945","2 Jahre","Geschlecht - Total",79479
